Recipe,Image Link
Pizza Toastie,https://img.buzzfeed.com/video-api-prod/assets/46c4bfcf4d43466d9964e2696b7f71e2/BFV4751_PizzaToastie-Thumb1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Parmesan Sliders,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/2d2c754860c743e7a174f319b814790e/BFV10402_Sliders4Ways.jpg?resize=300:*&output-format=auto&output-quality=auto
Mashed Potato Stuffed Meatloaf Cups,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/765f774d3b774d8995389743da92521a/BFV29964_1lbGroundBeef4Dinners_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Weekday Meal-Prep Turkey Taco Bowls,https://img.buzzfeed.com/video-api-prod/assets/9d87e37994a24f11b473346a6bc41e8a/fbthumb1.jpg?resize=300:*&output-format=auto&output-quality=auto
One-Pan Honey Garlic Salmon & Asparagus,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/866baaa671874497bd0443dce083da78/BFV30877_WeekdayMealPrepFor4FB1080x1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Slow Cooker Balsamic Chicken,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/5ff647287a5f49f0bec5112df43d5149/BFV37650_6Whole30FriendlyRecipes_FB_FINAL.jpg?resize=300:*&output-format=auto&output-quality=auto
One-Pan Southwestern Chicken Quinoa,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/e74342f1eb644ed590cdc2c5137d41f5/BFV4080_One-Pan_Southwestern_Chicken_Quinoa.jpg?resize=300:*&output-format=auto&output-quality=auto
Homemade Broccoli Cheese Soup,https://img.buzzfeed.com/video-api-prod/assets/b934f35a6f21480180dd7828ec6de5b3/BFV18082_HomemadeBroccoliCheeseSoup_Beauty.jpg?resize=300:*&output-format=auto&output-quality=auto
Slow-Cooker Roasted Tomato Basil Soup,no image
Tortilla Bowl Southwestern Salad,no image
Steak and Avocado Salad,no image
Chili Beef Noodles,no image
Cilantro Lime Chicken & Veggie Rice Meal Prep,https://img.buzzfeed.com/video-api-prod/assets/b15cfc66adcd4731b25e027567655f07/BFV20771_Cilantro-LimeChickenMealPrep-Thumb01.jpg?resize=300:*&output-format=auto&output-quality=auto
Carne Asada by Gabriel Barajas (aka Mr. TacosWay),https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/156079.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Caesar Pasta Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/18622.jpg?resize=300:*&output-format=auto&output-quality=auto
Shrimp & Avocado Tostadas,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/106326.jpg?resize=300:*&output-format=auto&output-quality=auto
Giant BBQ Rib Sandwich (To Feed A Crowd),https://img.buzzfeed.com/video-api-prod/assets/9638bcbb8dc3465aa5d9e060588086ac/BFV21737_GiantRibSandwich-ThumbA1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Roasted Chickpea And Avocado Salad,https://img.buzzfeed.com/video-api-prod/assets/eb723d65d991466eac0edc7c78a15233/BFV13406_RoastedChickpeaAndAvocadoSalad-ThumbTextless1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Shrimp and Avocado Taco Salad,https://img.buzzfeed.com/video-api-prod/assets/09d8b393f9fc43fe9c58dd52fb5d30df/BFV16557ShrimpAndAvocadoSaladThumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Elevated Hamburger Helper,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/1c9346dfd2714961ac777bc0e59b0162/BFV67137_ElevatedHamburgerHelper_YT_FINAL_V3.jpg?resize=300:*&output-format=auto&output-quality=auto
